cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,11,19,19,23
22,b_av,-,-,98,43,132
22,b_se,32,24,100,68,137
22,b_sk,18,5,85,46,132
22,b_sesk,47,29,124,92,137
79,fixed,25,0,24,18,33
79,b_av,-,-,138,28,221
79,b_se,136,79,204,164,225
79,b_sk,17,3,37,15,221
79,b_sesk,144,82,212,167,225
89,fixed,73,31,234,146,298
89,b_av,-,-,152,35,304
89,b_se,59,40,133,75,307
89,b_sk,38,12,160,120,304
89,b_sesk,97,52,241,188,307
190,fixed,580,29,667,528,696
190,b_av,-,-,400,134,572
190,b_se,277,171,385,288,581
190,b_sk,171,68,297,145,572
190,b_sesk,381,239,509,385,581
191,fixed,471,7,537,425,571
191,b_av,-,-,227,31,453
191,b_se,258,144,381,265,457
191,b_sk,48,16,85,37,456
191,b_sesk,281,160,419,289,460
