cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.7916666666666666,0.5416666666666666,0.7916666666666666,0.7916666666666666
22,b_av,-,-,0.8409090909090909,0.26515151515151514
22,b_se,0.43795620437956206,0.1897810218978102,0.9197080291970803,0.8394160583941606
22,b_sk,0.0,0.0,0.3409090909090909,0.030303030303030304
22,b_sesk,0.43795620437956206,0.1897810218978102,0.9562043795620438,0.8394160583941606
79,fixed,0.8484848484848485,0.0,0.7575757575757576,0.6060606060606061
79,b_av,-,-,0.751131221719457,0.19909502262443438
79,b_se,0.8622222222222222,0.37777777777777777,0.9244444444444444,0.8755555555555555
79,b_sk,0.19457013574660634,0.10407239819004525,0.22171945701357465,0.17194570135746606
79,b_sesk,0.9288888888888889,0.48,0.9555555555555556,0.9288888888888889
89,fixed,0.39464882943143814,0.17391304347826086,0.8327759197324415,0.6354515050167224
89,b_av,-,-,0.8856209150326797,0.21568627450980393
89,b_se,0.39158576051779936,0.1553398058252427,0.9676375404530745,0.8025889967637541
89,b_sk,0.032679738562091505,0.0,0.2875816993464052,0.058823529411764705
89,b_sesk,0.40129449838187703,0.1553398058252427,0.9870550161812298,0.8187702265372169
190,fixed,0.6876790830945558,0.4498567335243553,0.7320916905444126,0.6575931232091691
190,b_av,-,-,0.3169877408056042,0.03502626970227671
190,b_se,0.27586206896551724,0.12758620689655173,0.6603448275862069,0.27586206896551724
190,b_sk,0.1436077057793345,0.05253940455341506,0.16987740805604204,0.07355516637478109
190,b_sesk,0.3603448275862069,0.1793103448275862,0.7586206896551724,0.33793103448275863
191,fixed,0.7530647985989493,0.44658493870402804,0.7898423817863398,0.6847635726795096
191,b_av,-,-,0.2229580573951435,0.033112582781456956
191,b_se,0.25164113785557984,0.10940919037199125,0.7199124726477024,0.25601750547045954
191,b_sk,0.12280701754385964,0.043859649122807015,0.11403508771929824,0.05482456140350877
191,b_sesk,0.3108695652173913,0.15217391304347827,0.7782608695652173,0.2956521739130435
