cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,16,5,23,22,23
22,b_av,-,-,108,40,132
22,b_se,88,42,113,113,137
22,b_sk,29,1,53,36,132
22,b_sesk,110,43,137,137,137
79,fixed,25,13,25,20,33
79,b_av,-,-,59,0,221
79,b_se,87,37,163,98,225
79,b_sk,35,2,46,34,221
79,b_sesk,121,39,204,132,225
89,fixed,62,19,138,89,296
89,b_av,-,-,225,28,306
89,b_se,197,96,279,266,309
89,b_sk,7,0,52,19,306
89,b_sesk,204,96,303,284,309
190,fixed,353,176,451,300,693
190,b_av,-,-,216,10,562
190,b_se,247,161,385,250,571
190,b_sk,54,4,65,33,562
190,b_sesk,290,165,431,282,571
191,fixed,223,86,325,191,566
191,b_av,-,-,160,5,450
191,b_se,213,133,335,220,454
191,b_sk,50,4,52,25,453
191,b_sesk,252,137,381,244,457
