Hit3,Hit1,Hit50%,Hit30%
28.92,10.56,89.57,63.03
0.0,0.0,38.96,7.43
46.67,20.22,73.84,63.1
3.56,0.76,13.34,7.12
49.15,20.95,78.51,66.61
93.93,39.29,98.61,66.9
0.0,0.0,47.46,15.11
54.19,24.78,79.03,58.55
21.45,11.22,27.47,21.22
65.66,35.8,87.96,71.08
27.09,8.31,65.19,44.98
0.0,0.0,65.53,23.89
52.35,31.12,76.98,65.01
14.62,4.9,39.86,24.31
62.11,35.98,90.2,78.07
97.32,76.76,99.35,94.58
0.0,0.0,42.93,9.84
43.27,17.46,63.4,43.16
12.87,1.45,28.62,9.45
51.39,18.88,74.62,49.23
98.93,78.57,99.68,94.34
0.0,0.0,41.21,7.27
46.93,19.18,63.21,44.27
10.09,0.84,23.07,5.88
52.73,19.89,73.65,47.89
