cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.043478260869565216,0.0,0.9565217391304348,0.43478260869565216
22,b_av,-,-,0.5681818181818182,0.17424242424242425
22,b_se,0.5328467153284672,0.16058394160583941,0.8905109489051095,0.8540145985401459
22,b_sk,0.0,0.0,0.23484848484848486,0.022727272727272728
22,b_sesk,0.5328467153284672,0.16058394160583941,0.9124087591240876,0.8540145985401459
79,fixed,0.625,0.34375,1.0,0.46875
79,b_av,-,-,0.751131221719457,0.38461538461538464
79,b_se,0.5555555555555556,0.08444444444444445,0.9288888888888889,0.6088888888888889
79,b_sk,0.4751131221719457,0.27601809954751133,0.5475113122171946,0.45248868778280543
79,b_sesk,0.7955555555555556,0.35555555555555557,1.0,0.8977777777777778
89,fixed,0.04436860068259386,0.0,0.32081911262798635,0.13993174061433447
89,b_av,-,-,0.7302631578947368,0.1118421052631579
89,b_se,0.762214983713355,0.4527687296416938,0.9478827361563518,0.9315960912052117
89,b_sk,0.039473684210526314,0.0,0.13157894736842105,0.05921052631578947
89,b_sesk,0.7785016286644951,0.4527687296416938,0.9641693811074918,0.9478827361563518
190,fixed,0.9769452449567724,0.8112391930835735,0.9899135446685879,0.952449567723343
190,b_av,-,-,0.5153153153153153,0.0936936936936937
190,b_se,0.41134751773049644,0.22163120567375885,0.7854609929078015,0.46099290780141844
190,b_sk,0.10270270270270271,0.014414414414414415,0.27927927927927926,0.08108108108108109
190,b_sesk,0.44680851063829785,0.23581560283687944,0.8439716312056738,0.5195035460992907
191,fixed,0.9964850615114236,0.8312829525483304,0.9982425307557118,0.9384885764499121
191,b_av,-,-,0.4878048780487805,0.04656319290465632
191,b_se,0.4967032967032967,0.23956043956043957,0.7582417582417582,0.47912087912087914
191,b_sk,0.05066079295154185,0.004405286343612335,0.14977973568281938,0.028634361233480177
191,b_sesk,0.5043668122270742,0.2423580786026201,0.7969432314410481,0.5021834061135371
