cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,3,0,19,12,20
22,b_av,-,-,34,0,132
22,b_se,56,25,91,67,137
22,b_sk,0,0,2,1,132
22,b_sesk,56,25,93,68,137
79,fixed,31,27,31,30,31
79,b_av,-,-,145,39,221
79,b_se,88,25,151,98,225
79,b_sk,78,28,103,74,221
79,b_sesk,145,53,203,157,225
89,fixed,88,60,251,151,282
89,b_av,-,-,217,73,306
89,b_se,146,103,238,176,309
89,b_sk,44,7,124,69,306
89,b_sesk,170,110,274,214,309
190,fixed,677,472,687,646,695
190,b_av,-,-,259,36,560
190,b_se,278,97,385,253,569
190,b_sk,42,2,129,33,560
190,b_sesk,294,99,427,276,569
191,fixed,566,359,565,518,571
191,b_av,-,-,180,31,452
191,b_se,216,88,243,177,456
191,b_sk,49,0,111,24,455
191,b_sesk,231,88,291,197,459
