Hit3,Hit1,Hit50%,Hit30%
55.07,17.7,83.96,69.49
0.0,0.0,72.42,10.68
58.69,38.83,88.61,79.78
1.97,0.0,17.5,4.55
59.64,38.83,92.41,81.46
52.12,16.36,58.18,34.55
0.0,0.0,43.57,2.9
61.56,30.8,82.89,65.64
2.67,0.05,11.0,2.9
63.47,30.84,88.22,68.13
20.54,5.05,59.24,29.86
0.0,0.0,73.68,13.63
60.81,40.16,90.7,79.33
1.38,0.23,20.6,5.67
61.88,40.38,95.4,81.92
56.51,24.79,65.11,52.3
0.0,0.0,39.34,6.55
38.99,19.1,60.88,35.04
18.44,9.15,24.67,14.95
51.09,28.11,75.9,47.8
52.52,17.56,63.91,48.28
0.0,0.0,33.55,3.96
36.97,17.9,63.06,35.31
15.54,6.34,19.56,10.18
47.5,24.07,76.44,43.74
