cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.6666666666666666,0.2916666666666667,1.0,0.9583333333333334
22,b_av,-,-,0.8863636363636364,0.10606060606060606
22,b_se,0.6496350364963503,0.29927007299270075,1.0,0.8978102189781022
22,b_sk,0.0,0.0,0.12121212121212122,0.007575757575757576
22,b_sesk,0.6496350364963503,0.29927007299270075,1.0,0.8978102189781022
79,fixed,0.030303030303030304,0.0,0.3939393939393939,0.0
79,b_av,-,-,0.7104072398190046,0.16289592760180996
79,b_se,0.5111111111111111,0.17777777777777778,0.7911111111111111,0.5333333333333333
79,b_sk,0.07692307692307693,0.004524886877828055,0.43891402714932126,0.11312217194570136
79,b_sesk,0.5866666666666667,0.18222222222222223,0.9244444444444444,0.6177777777777778
89,fixed,0.20735785953177258,0.07023411371237458,0.5484949832775919,0.26755852842809363
89,b_av,-,-,0.8823529411764706,0.16013071895424835
89,b_se,0.5566343042071198,0.30097087378640774,0.9773462783171522,0.8478964401294499
89,b_sk,0.013071895424836602,0.0,0.2777777777777778,0.03594771241830065
89,b_sesk,0.5631067961165048,0.30097087378640774,0.9935275080906149,0.86084142394822
190,fixed,0.6233766233766234,0.15295815295815296,0.8008658008658008,0.6161616161616161
190,b_av,-,-,0.46760070052539404,0.08581436077057793
190,b_se,0.23793103448275862,0.06896551724137931,0.3396551724137931,0.1879310344827586
190,b_sk,0.425569176882662,0.26970227670753066,0.4938704028021016,0.37653239929947463
190,b_sesk,0.5913793103448276,0.33448275862068966,0.7034482758620689,0.5224137931034483
191,fixed,0.4235500878734622,0.01054481546572935,0.7117750439367311,0.5043936731107206
191,b_av,-,-,0.38852097130242824,0.06622516556291391
191,b_se,0.18599562363238512,0.06345733041575492,0.31072210065645517,0.15317286652078774
191,b_sk,0.36403508771929827,0.19956140350877194,0.43201754385964913,0.29385964912280704
191,b_sesk,0.5065217391304347,0.2608695652173913,0.6456521739130435,0.4217391304347826
