cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,4,1,4,4,23
22,b_av,-,-,77,4,132
22,b_se,55,33,99,80,137
22,b_sk,1,0,11,4,132
22,b_sesk,56,33,106,82,137
79,fixed,12,1,13,4,33
79,b_av,-,-,131,0,221
79,b_se,154,62,209,179,225
79,b_sk,3,0,0,0,221
79,b_sesk,154,62,209,179,225
89,fixed,50,20,158,76,297
89,b_av,-,-,185,1,306
89,b_se,221,139,286,248,309
89,b_sk,0,0,7,1,306
89,b_sesk,221,139,291,249,309
190,fixed,165,88,175,116,693
190,b_av,-,-,151,23,563
190,b_se,275,140,487,257,572
190,b_sk,37,10,40,11,563
190,b_sesk,278,150,497,268,572
191,fixed,153,80,159,104,571
191,b_av,-,-,119,16,451
191,b_se,218,108,415,251,455
191,b_sk,39,10,32,11,454
191,b_sesk,225,118,429,261,458
