case_id,cwe,main_file,java_file,func_name,target,old_labeled_lines,case_id,bad_source_lines,bad_sink_lines,fixed_lines
3888,CWE197,CWE197_Numeric_Truncation_Error__short_database_45,CWE197_Numeric_Truncation_Error__short_database_45,bad,1,[66],3888,66,38,
,,,,,,,,,,
3889,CWE197,CWE197_Numeric_Truncation_Error__int_File_to_short_52a,CWE197_Numeric_Truncation_Error__int_File_to_short_52a,bad,1,[52],3889,52,,
3889,CWE197,,CWE197_Numeric_Truncation_Error__int_File_to_short_52b,,,,3889,,,
3889,CWE197,,CWE197_Numeric_Truncation_Error__int_File_to_short_52c,,,,3889,,27,
,,,,,,,,,,
3890,CWE197,CWE197_Numeric_Truncation_Error__int_database_to_byte_17,CWE197_Numeric_Truncation_Error__int_database_to_byte_17,bad,1,"[51, 113]",3890,51,113,
,,,,,,,,,,
3891,CWE197,CWE197_Numeric_Truncation_Error__short_listen_tcp_31,CWE197_Numeric_Truncation_Error__short_listen_tcp_31,bad,1,"[57, 135]",3891,57,135,
,,,,,,,,,,
3892,CWE197,CWE197_Numeric_Truncation_Error__int_connect_tcp_to_byte_61a,CWE197_Numeric_Truncation_Error__int_connect_tcp_to_byte_61a,bad,1,[28],3892,,28,
3892,CWE197,,CWE197_Numeric_Truncation_Error__int_connect_tcp_to_byte_61b,,,,3892,52,,
,,,,,,,,,,
3893,CWE197,CWE197_Numeric_Truncation_Error__int_large_to_byte_41,CWE197_Numeric_Truncation_Error__int_large_to_byte_41,bad,1,[36],3893,36,26,
,,,,,,,,,,
3894,CWE197,CWE197_Numeric_Truncation_Error__int_connect_tcp_to_short_12,CWE197_Numeric_Truncation_Error__int_connect_tcp_to_short_12,goodG2B,0,"[117, 48]",3894,,,130
,,,,,,,,,,
3895,CWE197,CWE197_Numeric_Truncation_Error__short_connect_tcp_41,CWE197_Numeric_Truncation_Error__short_connect_tcp_41,goodG2B,0,[61],3895,,,144
,,,,,,,,,,
3896,CWE197,CWE197_Numeric_Truncation_Error__int_connect_tcp_to_short_16,CWE197_Numeric_Truncation_Error__int_connect_tcp_to_short_16,goodG2B,0,"[112, 49]",3896,,,125
,,,,,,,,,,
3897,CWE197,CWE197_Numeric_Truncation_Error__int_listen_tcp_to_byte_74a,CWE197_Numeric_Truncation_Error__int_listen_tcp_to_byte_74a,bad,1,[55],3897,55,,
3897,CWE197,,CWE197_Numeric_Truncation_Error__int_listen_tcp_to_byte_74b,,,,3897,,29,
,,,,,,,,,,
