case_id,cwe,main_file,java_file,func_name,target,old_labeled_lines,case_id,bad_source_lines,bad_sink_lines,fixed_lines
2795,CWE191,CWE191_Integer_Underflow__byte_rand_postdec_53a,CWE191_Integer_Underflow__byte_rand_postdec_53a,bad,1,[28],2795,28,,
2795,CWE191,,CWE191_Integer_Underflow__byte_rand_postdec_53b,,,,2795,,,
2795,CWE191,,CWE191_Integer_Underflow__byte_rand_postdec_53c,,,,2795,,,
2795,CWE191,,CWE191_Integer_Underflow__byte_rand_postdec_53d,,,,2795,,27,
,,,,,,,,,,
2796,CWE191,CWE191_Integer_Underflow__int_Property_postdec_71a,CWE191_Integer_Underflow__int_Property_postdec_71a,goodB2G,0,[35],2796,,,
2796,CWE191,,CWE191_Integer_Underflow__int_Property_postdec_71b,,,,2796,,,56
,,,,,,,,,,
2797,CWE191,CWE191_Integer_Underflow__int_random_sub_72a,CWE191_Integer_Underflow__int_random_sub_72a,goodB2G,0,[33],2797,,,
2797,CWE191,,CWE191_Integer_Underflow__int_random_sub_72b,,,,2797,,,55
,,,,,,,,,,
2798,CWE191,CWE191_Integer_Underflow__long_min_predec_02,CWE191_Integer_Underflow__long_min_predec_02,goodB2G1,0,"[29, 41]",2798,,,121
,,,,,,,,,,
2799,CWE191,CWE191_Integer_Underflow__int_getCookies_Servlet_predec_02,CWE191_Integer_Underflow__int_getCookies_Servlet_predec_02,bad,1,"[62, 40]",2799,40,62,
,,,,,,,,,,
2800,CWE191,CWE191_Integer_Underflow__long_rand_predec_22a,CWE191_Integer_Underflow__long_rand_predec_22a,bad,1,[32],2800,32,,
2800,CWE191,,CWE191_Integer_Underflow__long_rand_predec_22b,,,,2800,,28,
,,,,,,,,,,
2801,CWE191,CWE191_Integer_Underflow__int_database_sub_42,CWE191_Integer_Underflow__int_database_sub_42,goodB2G,0,[120],2801,,,237
,,,,,,,,,,
2802,CWE191,CWE191_Integer_Underflow__long_console_readLine_predec_53a,CWE191_Integer_Underflow__long_console_readLine_predec_53a,goodB2G,0,[37],2802,,,
2802,CWE191,,CWE191_Integer_Underflow__long_console_readLine_predec_53b,,,,2802,,,
2802,CWE191,,CWE191_Integer_Underflow__long_console_readLine_predec_53c,,,,2802,,,
2802,CWE191,,CWE191_Integer_Underflow__long_console_readLine_predec_53d,,,,2802,,,49
,,,,,,,,,,
2803,CWE191,CWE191_Integer_Underflow__long_min_multiply_71a,CWE191_Integer_Underflow__long_min_multiply_71a,goodB2G,0,[28],2803,,,
2803,CWE191,,CWE191_Integer_Underflow__long_min_multiply_71b,,,,2803,,,58
,,,,,,,,,,
2804,CWE191,CWE191_Integer_Underflow__int_getParameter_Servlet_multiply_52a,CWE191_Integer_Underflow__int_getParameter_Servlet_multiply_52a,bad,1,[35],2804,36,,
2804,CWE191,,CWE191_Integer_Underflow__int_getParameter_Servlet_multiply_52b,,,,2804,,,
2804,CWE191,,CWE191_Integer_Underflow__int_getParameter_Servlet_multiply_52c,,,,2804,,31,
,,,,,,,,,,
2805,CWE191,CWE191_Integer_Underflow__byte_min_sub_54a,CWE191_Integer_Underflow__byte_min_sub_54a,bad,1,[28],2805,28,,
2805,CWE191,,CWE191_Integer_Underflow__byte_min_sub_54b,,,,2805,,,
2805,CWE191,,CWE191_Integer_Underflow__byte_min_sub_54c,,,,2805,,,
2805,CWE191,,CWE191_Integer_Underflow__byte_min_sub_54d,,,,2805,,,
2805,CWE191,,CWE191_Integer_Underflow__byte_min_sub_54e,,,,2805,,27,
,,,,,,,,,,
2806,CWE191,CWE191_Integer_Underflow__int_console_readLine_postdec_72a,CWE191_Integer_Underflow__int_console_readLine_postdec_72a,bad,1,[49],2806,49,,
2806,CWE191,,CWE191_Integer_Underflow__int_console_readLine_postdec_72b,,,,2806,,31,
,,,,,,,,,,
2807,CWE191,CWE191_Integer_Underflow__int_File_multiply_21,CWE191_Integer_Underflow__int_File_multiply_21,goodB2G1,0,[58],2807,,,243
,,,,,,,,,,
