Hit3,Hit1,Hit50%,Hit30%
42.14,7.34,67.16,56.79
0.0,0.0,71.85,26.93
31.81,11.63,66.88,51.76
21.93,7.5,58.36,36.04
48.4,18.85,91.02,75.45
41.21,8.48,44.85,20.3
0.0,0.0,33.67,3.26
21.47,9.24,50.67,25.56
16.38,4.57,36.38,19.64
36.76,13.73,77.87,44.09
14.23,3.21,44.84,24.57
0.0,0.0,60.01,9.09
29.0,13.15,70.33,49.04
9.77,3.84,35.88,20.44
38.41,16.95,91.13,67.45
30.18,13.42,38.99,24.13
0.0,0.0,39.11,4.83
33.44,18.27,51.75,33.08
22.66,5.12,32.39,20.65
52.38,23.32,75.33,52.53
29.0,9.63,38.86,21.84
0.0,0.0,39.7,3.28
34.94,21.13,52.2,35.95
22.42,5.14,31.86,19.58
53.38,26.09,78.09,54.39
