cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,6,0,7,6,24
22,b_av,-,-,65,8,132
22,b_se,5,0,43,14,137
22,b_sk,20,0,85,61,132
22,b_sesk,25,0,111,75,137
79,fixed,8,0,6,1,33
79,b_av,-,-,56,1,221
79,b_se,6,0,52,11,225
79,b_sk,15,1,109,24,221
79,b_sesk,21,1,151,35,225
89,fixed,25,4,91,45,296
89,b_av,-,-,107,6,294
89,b_se,17,1,66,20,297
89,b_sk,6,0,232,98,294
89,b_sesk,23,1,262,116,297
190,fixed,114,36,139,77,692
190,b_av,-,-,262,40,562
190,b_se,79,45,157,63,570
190,b_sk,253,21,438,314,562
190,b_sesk,318,66,503,370,570
191,fixed,157,68,202,128,566
191,b_av,-,-,196,7,449
191,b_se,52,34,62,39,453
191,b_sk,236,41,365,265,452
191,b_sesk,272,75,412,303,456
