cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.7916666666666666,0.5,0.7916666666666666,0.7916666666666666
22,b_av,-,-,0.8257575757575758,0.32575757575757575
22,b_se,0.5109489051094891,0.23357664233576642,0.8759124087591241,0.8321167883211679
22,b_sk,0.03787878787878788,0.0,0.4318181818181818,0.08333333333333333
22,b_sesk,0.5182481751824818,0.23357664233576642,0.9562043795620438,0.8540145985401459
79,fixed,0.8484848484848485,0.0,0.7575757575757576,0.6060606060606061
79,b_av,-,-,0.5882352941176471,0.11312217194570136
79,b_se,0.76,0.6444444444444445,0.9155555555555556,0.8
79,b_sk,0.17194570135746606,0.15384615384615385,0.17647058823529413,0.17194570135746606
79,b_sesk,0.92,0.7955555555555556,0.9777777777777777,0.9155555555555556
89,fixed,0.22483221476510068,0.12080536912751678,0.5939597315436241,0.3221476510067114
89,b_av,-,-,0.9084967320261438,0.17320261437908496
89,b_se,0.3883495145631068,0.1715210355987055,0.9676375404530745,0.8673139158576052
89,b_sk,0.0032679738562091504,0.0,0.27450980392156865,0.042483660130718956
89,b_sesk,0.39158576051779936,0.1715210355987055,0.9902912621359223,0.8802588996763754
190,fixed,0.27363896848137537,0.12607449856733524,0.41260744985673353,0.2664756446991404
190,b_av,-,-,0.4632867132867133,0.055944055944055944
190,b_se,0.23924268502581755,0.04475043029259897,0.5731497418244407,0.36316695352839934
190,b_sk,0.23251748251748253,0.12237762237762238,0.34440559440559443,0.17132867132867133
190,b_sesk,0.4044750430292599,0.16523235800344235,0.7951807228915663,0.5146299483648882
191,fixed,0.23467600700525393,0.1330998248686515,0.276707530647986,0.2136602451838879
191,b_av,-,-,0.37969094922737306,0.024282560706401765
191,b_se,0.2188183807439825,0.05689277899343545,0.6258205689277899,0.35667396061269147
191,b_sk,0.23464912280701755,0.11842105263157894,0.29605263157894735,0.1513157894736842
191,b_sesk,0.4043478260869565,0.17391304347826086,0.8260869565217391,0.4956521739130435
