cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,2,0,5,3,24
22,b_av,-,-,124,65,131
22,b_se,88,22,113,113,136
22,b_sk,23,10,87,38,131
22,b_sesk,109,32,136,136,136
79,fixed,3,0,0,0,33
79,b_av,-,-,70,3,221
79,b_se,38,20,189,79,225
79,b_sk,40,0,45,36,221
79,b_sesk,78,20,218,114,225
89,fixed,1,1,54,6,298
89,b_av,-,-,299,149,306
89,b_se,237,67,287,285,309
89,b_sk,20,9,180,41,306
89,b_sesk,255,76,309,303,309
190,fixed,184,1,375,220,698
190,b_av,-,-,335,95,572
190,b_se,312,149,532,351,581
190,b_sk,104,27,184,107,572
190,b_sesk,373,176,573,427,581
191,fixed,143,0,279,166,571
191,b_av,-,-,264,52,453
191,b_se,260,125,417,297,457
191,b_sk,61,25,125,45,456
191,b_sesk,293,150,447,335,460
