cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.2,0.0,0.95,0.7
22,b_av,-,-,0.29545454545454547,0.0
22,b_se,0.7883211678832117,0.4233576642335766,0.9781021897810219,0.948905109489051
22,b_sk,0.0,0.0,0.0,0.0
22,b_sesk,0.7883211678832117,0.4233576642335766,0.9781021897810219,0.948905109489051
79,fixed,1.0,0.0,1.0,0.3333333333333333
79,b_av,-,-,0.7828054298642534,0.4434389140271493
79,b_se,0.8577777777777778,0.14222222222222222,0.9644444444444444,0.8755555555555555
79,b_sk,0.45248868778280543,0.27149321266968324,0.5248868778280543,0.4434389140271493
79,b_sesk,0.9511111111111111,0.4088888888888889,1.0,0.9822222222222222
89,fixed,0.8304498269896193,0.1972318339100346,0.9965397923875432,0.9688581314878892
89,b_av,-,-,0.9016393442622951,0.4131147540983607
89,b_se,0.8928571428571429,0.7142857142857143,0.9772727272727273,0.974025974025974
89,b_sk,0.07540983606557378,0.009836065573770493,0.4163934426229508,0.18360655737704917
89,b_sesk,0.9090909090909091,0.724025974025974,0.987012987012987,0.9837662337662337
190,fixed,0.9595375722543352,0.619942196531792,0.9913294797687862,0.884393063583815
190,b_av,-,-,0.564373897707231,0.14991181657848324
190,b_se,0.6128472222222222,0.24479166666666666,0.8767361111111112,0.6909722222222222
190,b_sk,0.09700176366843033,0.0,0.25396825396825395,0.08818342151675485
190,b_sesk,0.6684027777777778,0.24479166666666666,0.9045138888888888,0.7170138888888888
191,fixed,0.968476357267951,0.6077057793345009,0.9982486865148862,0.8949211908931699
191,b_av,-,-,0.5761589403973509,0.10816777041942605
191,b_se,0.4923413566739606,0.22975929978118162,0.838074398249453,0.6345733041575492
191,b_sk,0.05043859649122807,0.0,0.21710526315789475,0.05043859649122807
191,b_sesk,0.5239130434782608,0.22826086956521738,0.8847826086956522,0.6434782608695652
