cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,8,2,12,12,12
22,b_av,-,-,80,29,132
22,b_se,62,38,115,96,137
22,b_sk,24,8,41,32,132
22,b_sesk,77,46,126,109,137
79,fixed,25,25,25,25,25
79,b_av,-,-,39,2,217
79,b_se,152,105,184,150,221
79,b_sk,0,0,1,0,217
79,b_sesk,152,105,184,150,221
89,fixed,165,40,275,252,275
89,b_av,-,-,234,79,294
89,b_se,98,46,241,176,297
89,b_sk,40,14,138,73,294
89,b_sesk,133,60,272,216,297
190,fixed,649,419,684,638,687
190,b_av,-,-,276,105,547
190,b_se,161,70,299,165,556
190,b_sk,121,14,253,96,547
190,b_sesk,257,84,391,232,556
191,fixed,548,414,567,541,568
191,b_av,-,-,250,85,446
191,b_se,184,78,253,193,450
191,b_sk,87,11,182,73,449
191,b_sesk,242,89,319,231,453
