cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,16,7,24,23,24
22,b_av,-,-,117,14,132
22,b_se,89,41,137,123,137
22,b_sk,0,0,16,1,132
22,b_sesk,89,41,137,123,137
79,fixed,1,0,13,0,33
79,b_av,-,-,157,36,221
79,b_se,115,40,178,120,225
79,b_sk,17,1,97,25,221
79,b_sesk,132,41,208,139,225
89,fixed,62,21,164,80,299
89,b_av,-,-,270,49,306
89,b_se,172,93,302,262,309
89,b_sk,4,0,85,11,306
89,b_sesk,174,93,307,266,309
190,fixed,432,106,555,427,693
190,b_av,-,-,267,49,571
190,b_se,138,40,197,109,580
190,b_sk,243,154,282,215,571
190,b_sesk,343,194,408,303,580
191,fixed,241,6,405,287,569
191,b_av,-,-,176,30,453
191,b_se,85,29,142,70,457
191,b_sk,166,91,197,134,456
191,b_sesk,233,120,297,194,460
