Hit3,Hit1,Hit50%,Hit30%
49.26,25.71,78.61,62.7
0.0,0.0,82.8,32.39
38.66,17.31,82.18,67.58
12.66,1.9,53.0,22.67
48.89,19.14,96.2,81.68
56.06,3.03,59.7,35.76
0.0,0.0,44.75,7.01
39.47,19.64,75.91,46.22
20.54,4.43,26.7,20.41
57.29,24.0,91.29,63.47
28.61,14.29,67.44,41.23
0.0,0.0,76.53,24.41
40.17,19.17,80.48,62.97
5.67,1.67,42.78,16.38
44.29,20.82,92.27,73.76
61.65,19.18,78.09,61.11
0.0,0.0,53.08,12.94
41.43,18.63,66.01,42.81
23.0,8.8,37.54,20.24
56.36,27.29,83.32,58.46
58.14,15.49,74.68,58.46
0.0,0.0,49.14,8.21
40.27,20.81,69.11,42.8
18.41,6.13,30.01,14.58
52.62,26.75,83.41,54.62
