cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,13,19,19,24
22,b_av,-,-,111,35,132
22,b_se,60,26,126,115,137
22,b_sk,0,0,45,4,132
22,b_sesk,60,26,131,115,137
79,fixed,28,0,25,20,33
79,b_av,-,-,166,44,221
79,b_se,194,85,208,197,225
79,b_sk,43,23,49,38,221
79,b_sesk,209,108,215,209,225
89,fixed,118,52,249,190,299
89,b_av,-,-,271,66,306
89,b_se,121,48,299,248,309
89,b_sk,10,0,88,18,306
89,b_sesk,124,48,305,253,309
190,fixed,480,314,511,459,698
190,b_av,-,-,181,20,571
190,b_se,160,74,383,160,580
190,b_sk,82,30,97,42,571
190,b_sesk,209,104,440,196,580
191,fixed,430,255,451,391,571
191,b_av,-,-,101,15,453
191,b_se,115,50,329,117,457
191,b_sk,56,20,52,25,456
191,b_sesk,143,70,358,136,460
