Hit3,Hit1,Hit50%,Hit30%
30.297,7.752,32.972,34.214
0.0,0.0,25.765,17.956
22.675,11.577,22.083,27.914
14.938,12.352,15.097,14.164
27.497,16.266,15.226,24.832
22.481,12.182,30.569,21.938
0.0,0.0,14.778,3.439
14.545,6.919,22.673,19.535
11.568,6.725,18.037,12.349
17.5,9.209,16.532,21.108
5.756,2.552,11.032,8.84
0.0,0.0,23.387,6.102
18.811,9.856,27.151,26.397
17.535,9.767,28.976,24.284
18.735,10.259,14.202,19.572
13.25,8.635,17.569,12.79
0.0,0.0,12.311,4.635
10.153,6.44,14.424,13.028
18.952,7.392,27.223,21.574
9.222,6.094,10.027,11.068
8.352,4.984,12.45,8.933
0.0,0.0,9.975,2.869
11.917,7.225,20.676,16.725
19.605,7.621,26.746,21.835
9.75,5.561,10.813,12.365
