cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.5714285714285714,0.0,1.0,0.8095238095238095
22,b_av,-,-,0.3484848484848485,0.13636363636363635
22,b_se,0.27007299270072993,0.12408759124087591,0.48175182481751827,0.39416058394160586
22,b_sk,0.10606060606060606,0.015151515151515152,0.3712121212121212,0.25
22,b_sesk,0.35766423357664234,0.1386861313868613,0.6934306569343066,0.5693430656934306
79,fixed,0.875,0.15625,0.9375,0.375
79,b_av,-,-,0.35294117647058826,0.058823529411764705
79,b_se,0.18666666666666668,0.09777777777777778,0.3022222222222222,0.17777777777777778
79,b_sk,0.37104072398190047,0.15384615384615385,0.49321266968325794,0.3891402714932127
79,b_sesk,0.5022222222222222,0.24888888888888888,0.7022222222222222,0.5377777777777778
89,fixed,0.05172413793103448,0.0034482758620689655,0.5206896551724138,0.23793103448275862
89,b_av,-,-,0.5081967213114754,0.24918032786885247
89,b_se,0.32142857142857145,0.21753246753246752,0.4448051948051948,0.36688311688311687
89,b_sk,0.2983606557377049,0.06885245901639345,0.6983606557377049,0.4819672131147541
89,b_sesk,0.5681818181818182,0.2857142857142857,0.8831168831168831,0.7207792207792207
190,fixed,0.9813486370157819,0.7159253945480631,0.9913916786226685,0.9196556671449068
190,b_av,-,-,0.39893617021276595,0.09574468085106383
190,b_se,0.35602094240837695,0.2600349040139616,0.43804537521815007,0.3333333333333333
190,b_sk,0.13297872340425532,0.01950354609929078,0.36879432624113473,0.11170212765957446
190,b_sesk,0.41710296684118675,0.2792321116928447,0.6544502617801047,0.42757417102966844
191,fixed,0.9947460595446584,0.723292469352014,0.9947460595446584,0.9159369527145359
191,b_av,-,-,0.3694690265486726,0.11283185840707964
191,b_se,0.34210526315789475,0.27850877192982454,0.41885964912280704,0.33114035087719296
191,b_sk,0.12527472527472527,0.008791208791208791,0.3868131868131868,0.1054945054945055
191,b_sesk,0.38344226579520696,0.28540305010893247,0.6492374727668845,0.4117647058823529
