cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,1,0,22,10,23
22,b_av,-,-,75,23,132
22,b_se,73,22,122,117,137
22,b_sk,0,0,31,3,132
22,b_sesk,73,22,125,117,137
79,fixed,20,11,32,15,32
79,b_av,-,-,166,85,221
79,b_se,125,19,209,137,225
79,b_sk,105,61,121,100,221
79,b_sesk,179,80,225,202,225
89,fixed,13,0,94,41,293
89,b_av,-,-,222,34,304
89,b_se,234,139,291,286,307
89,b_sk,12,0,40,18,304
89,b_sesk,239,139,296,291,307
190,fixed,678,563,687,661,694
190,b_av,-,-,286,52,555
190,b_se,232,125,443,260,564
190,b_sk,57,8,155,45,555
190,b_sesk,252,133,476,293,564
191,fixed,567,473,568,534,569
191,b_av,-,-,220,21,451
191,b_se,226,109,345,218,455
191,b_sk,23,2,68,13,454
191,b_sesk,231,111,365,230,458
