Hit3,Hit1,Hit50%,Hit30%
28.092,16.798,23.385,31.343
0.0,0.0,11.46,7.442
22.911,23.25,13.297,18.613
3.182,0.0,14.495,5.183
21.761,23.25,8.965,16.543
29.436,24.663,23.698,28.108
0.0,0.0,20.388,4.815
23.927,19.679,18.663,24.749
3.065,0.136,13.426,4.093
22.705,19.65,13.158,22.697
17.568,4.159,18.609,22.122
0.0,0.0,19.444,9.901
24.116,24.349,11.649,19.727
0.982,0.589,10.812,5.889
23.86,24.694,5.353,17.77
23.602,21.179,25.929,25.454
0.0,0.0,16.462,5.005
11.236,10.069,16.757,14.253
12.466,8.259,15.705,12.25
10.604,11.737,8.805,14.087
21.662,19.113,23.578,23.048
0.0,0.0,13.401,2.499
11.399,9.106,19.948,15.672
9.172,5.606,12.502,8.692
9.454,9.177,12.536,13.792
