cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,12,19,19,23
22,b_av,-,-,91,27,132
22,b_se,37,12,98,72,137
22,b_sk,13,0,53,23,132
22,b_sesk,49,12,118,87,137
79,fixed,28,22,27,23,33
79,b_av,-,-,149,1,221
79,b_se,131,76,198,149,225
79,b_sk,4,0,15,3,221
79,b_sesk,131,76,206,152,225
89,fixed,82,35,253,131,297
89,b_av,-,-,137,11,304
89,b_se,87,39,259,202,307
89,b_sk,4,0,41,7,304
89,b_sesk,91,39,276,209,307
190,fixed,191,65,216,143,696
190,b_av,-,-,151,5,571
190,b_se,283,134,460,290,580
190,b_sk,21,0,23,1,571
190,b_sesk,294,134,468,291,580
191,fixed,176,68,184,121,569
191,b_av,-,-,121,7,452
191,b_se,196,102,370,177,456
191,b_sk,33,2,27,3,455
191,b_sesk,212,104,384,180,459
