cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.8260869565217391,0.391304347826087,0.9565217391304348,0.9565217391304348
22,b_av,-,-,0.6287878787878788,0.0
22,b_se,0.7591240875912408,0.49635036496350365,0.9708029197080292,0.9708029197080292
22,b_sk,0.0,0.0,0.0,0.0
22,b_sesk,0.7591240875912408,0.49635036496350365,0.9708029197080292,0.9708029197080292
79,fixed,0.30303030303030304,0.0,0.3333333333333333,0.06060606060606061
79,b_av,-,-,0.6425339366515838,0.058823529411764705
79,b_se,0.7777777777777778,0.18222222222222223,0.92,0.7866666666666666
79,b_sk,0.02262443438914027,0.0,0.12217194570135746,0.027149321266968326
79,b_sesk,0.8,0.18222222222222223,0.9688888888888889,0.8088888888888889
89,fixed,0.09060402684563758,0.03355704697986577,0.6812080536912751,0.13087248322147652
89,b_av,-,-,0.8655737704918033,0.24262295081967214
89,b_se,0.8116883116883117,0.5357142857142857,0.9772727272727273,0.9415584415584416
89,b_sk,0.019672131147540985,0.0,0.2786885245901639,0.06885245901639345
89,b_sesk,0.8311688311688312,0.5357142857142857,0.9967532467532467,0.9675324675324676
190,fixed,0.8610315186246418,0.33954154727793695,0.9326647564469914,0.7765042979942693
190,b_av,-,-,0.6392294220665499,0.1733800350262697
190,b_se,0.453448275862069,0.2689655172413793,0.65,0.39482758620689656
190,b_sk,0.35376532399299476,0.17513134851138354,0.4115586690017513,0.3239929947460595
190,b_sesk,0.6482758620689655,0.4413793103448276,0.846551724137931,0.6396551724137931
191,fixed,0.8476357267950964,0.21015761821366025,0.9211908931698775,0.7443082311733801
191,b_av,-,-,0.47240618101545256,0.08388520971302428
191,b_se,0.4026258205689278,0.25164113785557984,0.6389496717724289,0.37199124726477023
191,b_sk,0.23903508771929824,0.10964912280701754,0.2916666666666667,0.20175438596491227
191,b_sesk,0.5456521739130434,0.358695652173913,0.8239130434782609,0.5173913043478261
